Using workers=8 (SLURM_CPUS_PER_TASK=18)
Total granules found: 840
Submitting 840 granules to the pool...
[336/840] [338] HLS.L30.T10TDL.2021151T185048.v2.0: wrote 8 files
[337/840] [333] HLS.L30.T10TFM.2021151T185024.v2.0: wrote 8 files
[338/840] [343] HLS.S30.T10TFL.2021152T185921.v2.0: wrote 8 files
[339/840] [342] HLS.S30.T10TCM.2021152T185921.v2.0: wrote 8 files
[340/840] [335] HLS.L30.T10TDM.2021151T185048.v2.0: wrote 8 files
[341/840] [334] HLS.L30.T10TEM.2021151T185024.v2.0: wrote 8 files
[342/840] [339] HLS.S30.T10TFM.2021152T185921.v2.0: wrote 8 files
[343/840] [346] HLS.S30.T10TCL.2021152T185921.v2.0: wrote 8 files
[344/840] [344] HLS.S30.T10TEL.2021152T185921.v2.0: wrote 8 files
[345/840] [345] HLS.S30.T10TDL.2021152T185921.v2.0: wrote 8 files
[346/840] [348] HLS.L30.T11TKF.2021153T183827.v2.0: wrote 8 files
[347/840] [340] HLS.S30.T10TEM.2021152T185921.v2.0: wrote 8 files
[348/840] [341] HLS.S30.T10TDM.2021152T185921.v2.0: wrote 8 files
[349/840] [350] HLS.L30.T10TGL.2021153T183827.v2.0: wrote 8 files
[350/840] [347] HLS.L30.T11TKG.2021153T183827.v2.0: wrote 8 files
[351/840] [349] HLS.L30.T10TGM.2021153T183827.v2.0: wrote 8 files
[352/840] [355] HLS.S30.T11TKF.2021154T184919.v2.0: wrote 8 files
[353/840] [356] HLS.S30.T10TGL.2021154T184919.v2.0: wrote 8 files
[354/840] [351] HLS.S30.T10TGM.2021154T184919.v2.0: wrote 8 files
[355/840] [352] HLS.S30.T11TKG.2021154T184919.v2.0: wrote 8 files
[356/840] [357] HLS.S30.T10TFL.2021154T184919.v2.0: wrote 8 files
[357/840] [358] HLS.S30.T10TEL.2021154T184919.v2.0: wrote 8 files
[358/840] [360] HLS.S30.T10TCM.2021155T190911.v2.0: wrote 8 files
[359/840] [362] HLS.S30.T10TCL.2021155T190911.v2.0: wrote 8 files
[360/840] [361] HLS.S30.T10TDL.2021155T190911.v2.0: wrote 8 files
[361/840] [353] HLS.S30.T10TFM.2021154T184919.v2.0: wrote 8 files
[362/840] [354] HLS.S30.T10TEM.2021154T184919.v2.0: wrote 8 files
[363/840] [366] HLS.S30.T10TCM.2021157T185919.v2.0: wrote 8 files
[364/840] [367] HLS.S30.T10TFL.2021157T185919.v2.0: wrote 8 files
[365/840] [359] HLS.S30.T10TDM.2021155T190911.v2.0: wrote 8 files
[366/840] [368] HLS.S30.T10TEL.2021157T185919.v2.0: wrote 8 files
[367/840] [369] HLS.S30.T10TDL.2021157T185919.v2.0: wrote 8 files
[368/840] [370] HLS.S30.T10TCL.2021157T185919.v2.0: wrote 8 files
[369/840] [363] HLS.S30.T10TFM.2021157T185919.v2.0: wrote 8 files
[370/840] [375] HLS.L30.T10TCL.2021158T185702.v2.0: wrote 8 files
[371/840] [373] HLS.L30.T10TEL.2021158T185702.v2.0: wrote 8 files
[372/840] [364] HLS.S30.T10TEM.2021157T185919.v2.0: wrote 8 files
[373/840] [365] HLS.S30.T10TDM.2021157T185919.v2.0: wrote 8 files
[374/840] [374] HLS.L30.T10TDL.2021158T185702.v2.0: wrote 8 files
[375/840] [376] HLS.L30.T10TCM.2021158T185702.v2.0: wrote 8 files
[376/840] [381] HLS.S30.T11TKF.2021159T184921.v2.0: wrote 8 files
[377/840] [371] HLS.L30.T10TEM.2021158T185638.v2.0: wrote 8 files
[378/840] [372] HLS.L30.T10TDM.2021158T185638.v2.0: wrote 8 files
[379/840] [377] HLS.S30.T10TGM.2021159T184921.v2.0: wrote 8 files
[380/840] [382] HLS.S30.T10TGL.2021159T184921.v2.0: wrote 8 files
[381/840] [378] HLS.S30.T11TKG.2021159T184921.v2.0: wrote 8 files
[382/840] [383] HLS.S30.T10TFL.2021159T184921.v2.0: wrote 8 files
[383/840] [384] HLS.S30.T10TEL.2021159T184921.v2.0: wrote 8 files
[384/840] [380] HLS.S30.T10TEM.2021159T184921.v2.0: wrote 8 files
[385/840] [379] HLS.S30.T10TFM.2021159T184921.v2.0: wrote 8 files
[386/840] [388] HLS.L30.T10TFL.2021160T184441.v2.0: wrote 8 files
[387/840] [390] HLS.L30.T10TGL.2021160T184441.v2.0: wrote 8 files
[388/840] [385] HLS.L30.T11TKG.2021160T184417.v2.0: wrote 8 files
[389/840] [386] HLS.L30.T10TGM.2021160T184417.v2.0: wrote 8 files
[390/840] [391] HLS.L30.T11TKF.2021160T184441.v2.0: wrote 8 files
[391/840] [392] HLS.L30.T10TEL.2021160T184441.v2.0: wrote 8 files
[392/840] [395] HLS.S30.T10TDL.2021160T190919.v2.0: wrote 8 files
[393/840] [394] HLS.S30.T10TCM.2021160T190919.v2.0: wrote 8 files
[394/840] [387] HLS.L30.T10TEM.2021160T184441.v2.0: wrote 8 files
[395/840] [389] HLS.L30.T10TFM.2021160T184441.v2.0: wrote 8 files
[396/840] [398] HLS.S30.T10TFL.2021162T185921.v2.0: wrote 8 files
[397/840] [400] HLS.S30.T10TDL.2021162T185921.v2.0: wrote 8 files
[398/840] [399] HLS.S30.T10TEL.2021162T185921.v2.0: wrote 8 files
[399/840] [393] HLS.S30.T10TDM.2021160T190919.v2.0: wrote 8 files
[400/840] [396] HLS.S30.T10TFM.2021162T185921.v2.0: wrote 8 files
[401/840] [401] HLS.S30.T10TGM.2021164T184919.v2.0: wrote 8 files
[402/840] [397] HLS.S30.T10TEM.2021162T185921.v2.0: wrote 8 files
[403/840] [405] HLS.S30.T11TKF.2021164T184919.v2.0: wrote 8 files
[404/840] [406] HLS.S30.T10TGL.2021164T184919.v2.0: wrote 8 files
[405/840] [402] HLS.S30.T11TKG.2021164T184919.v2.0: wrote 8 files
[406/840] [407] HLS.S30.T10TFL.2021164T184919.v2.0: wrote 8 files
[407/840] [408] HLS.S30.T10TEL.2021164T184919.v2.0: wrote 8 files
[408/840] [410] HLS.L30.T10TCM.2021165T190251.v2.0: wrote 8 files
[409/840] [403] HLS.S30.T10TFM.2021164T184919.v2.0: wrote 8 files
[410/840] [414] HLS.S30.T10TCL.2021165T190911.v2.0: wrote 8 files
[411/840] [413] HLS.S30.T10TDL.2021165T190911.v2.0: wrote 8 files
[412/840] [404] HLS.S30.T10TEM.2021164T184919.v2.0: wrote 8 files
[413/840] [412] HLS.S30.T10TCM.2021165T190911.v2.0: wrote 8 files
[414/840] [409] HLS.L30.T10TDM.2021165T190251.v2.0: wrote 8 files
[415/840] [417] HLS.L30.T10TFL.2021167T185054.v2.0: wrote 8 files
[416/840] [411] HLS.S30.T10TDM.2021165T190911.v2.0: wrote 8 files
[417/840] [418] HLS.L30.T10TDL.2021167T185054.v2.0: wrote 8 files
[418/840] [420] HLS.L30.T10TEL.2021167T185054.v2.0: wrote 8 files
[419/840] [415] HLS.L30.T10TEM.2021167T185030.v2.0: wrote 8 files
[420/840] [424] HLS.S30.T10TCM.2021167T185919.v2.0: wrote 8 files
[421/840] [425] HLS.S30.T10TFL.2021167T185919.v2.0: wrote 8 files
[422/840] [416] HLS.L30.T10TFM.2021167T185030.v2.0: wrote 8 files
[423/840] [419] HLS.L30.T10TDM.2021167T185054.v2.0: wrote 8 files
[424/840] [428] HLS.S30.T10TCL.2021167T185919.v2.0: wrote 8 files
[425/840] [426] HLS.S30.T10TEL.2021167T185919.v2.0: wrote 8 files
[426/840] [427] HLS.S30.T10TDL.2021167T185919.v2.0: wrote 8 files
[427/840] [429] HLS.L30.T11TKF.2021169T183833.v2.0: wrote 8 files
[428/840] [421] HLS.S30.T10TFM.2021167T185919.v2.0: wrote 8 files
[429/840] [430] HLS.L30.T10TGL.2021169T183833.v2.0: wrote 8 files
[430/840] [422] HLS.S30.T10TEM.2021167T185919.v2.0: wrote 8 files
[431/840] [423] HLS.S30.T10TDM.2021167T185919.v2.0: wrote 8 files
[432/840] [437] HLS.S30.T11TKF.2021169T184921.v2.0: wrote 8 files
[433/840] [438] HLS.S30.T10TGL.2021169T184921.v2.0: wrote 8 files
[434/840] [432] HLS.L30.T10TGM.2021169T183833.v2.0: wrote 8 files
[435/840] [433] HLS.S30.T10TGM.2021169T184921.v2.0: wrote 8 files
[436/840] [431] HLS.L30.T11TKG.2021169T183833.v2.0: wrote 8 files
[437/840] [434] HLS.S30.T11TKG.2021169T184921.v2.0: wrote 8 files
[438/840] [439] HLS.S30.T10TFL.2021169T184921.v2.0: wrote 8 files
[439/840] [440] HLS.S30.T10TEL.2021169T184921.v2.0: wrote 8 files
[440/840] [444] HLS.S30.T10TCL.2021170T190919.v2.0: wrote 8 files
[441/840] [442] HLS.S30.T10TCM.2021170T190919.v2.0: wrote 8 files
[442/840] [443] HLS.S30.T10TDL.2021170T190919.v2.0: wrote 8 files
[443/840] [435] HLS.S30.T10TFM.2021169T184921.v2.0: wrote 8 files
[444/840] [436] HLS.S30.T10TEM.2021169T184921.v2.0: wrote 8 files
[445/840] [449] HLS.S30.T10TFL.2021172T185921.v2.0: wrote 8 files
[446/840] [448] HLS.S30.T10TCM.2021172T185921.v2.0: wrote 8 files
[447/840] [451] HLS.S30.T10TDL.2021172T185921.v2.0: wrote 8 files
[448/840] [441] HLS.S30.T10TDM.2021170T190919.v2.0: wrote 8 files
[449/840] [450] HLS.S30.T10TEL.2021172T185921.v2.0: wrote 8 files
[450/840] [452] HLS.S30.T10TCL.2021172T185921.v2.0: wrote 8 files
[451/840] [445] HLS.S30.T10TFM.2021172T185921.v2.0: wrote 8 files
[452/840] [446] HLS.S30.T10TEM.2021172T185921.v2.0: wrote 8 files
[453/840] [455] HLS.L30.T10TEL.2021174T185707.v2.0: wrote 8 files
[454/840] [447] HLS.S30.T10TDM.2021172T185921.v2.0: wrote 8 files
[455/840] [456] HLS.L30.T10TCM.2021174T185707.v2.0: wrote 8 files
[456/840] [458] HLS.L30.T10TCL.2021174T185707.v2.0: wrote 8 files
[457/840] [457] HLS.L30.T10TDL.2021174T185707.v2.0: wrote 8 files
[458/840] [453] HLS.L30.T10TEM.2021174T185643.v2.0: wrote 8 files
[459/840] [463] HLS.S30.T11TKF.2021174T184919.v2.0: wrote 8 files
[460/840] [464] HLS.S30.T10TGL.2021174T184919.v2.0: wrote 8 files
[461/840] [459] HLS.S30.T10TGM.2021174T184919.v2.0: wrote 8 files
[462/840] [454] HLS.L30.T10TDM.2021174T185643.v2.0: wrote 8 files
[463/840] [460] HLS.S30.T11TKG.2021174T184919.v2.0: wrote 8 files
[464/840] [466] HLS.S30.T10TEL.2021174T184919.v2.0: wrote 8 files
[465/840] [465] HLS.S30.T10TFL.2021174T184919.v2.0: wrote 8 files
[466/840] [470] HLS.S30.T10TCL.2021175T190921.v2.0: wrote 8 files
[467/840] [462] HLS.S30.T10TEM.2021174T184919.v2.0: wrote 8 files
[468/840] [469] HLS.S30.T10TDL.2021175T190921.v2.0: wrote 8 files
[469/840] [461] HLS.S30.T10TFM.2021174T184919.v2.0: wrote 8 files
[470/840] [468] HLS.S30.T10TCM.2021175T190921.v2.0: wrote 8 files
[471/840] [475] HLS.L30.T11TKF.2021176T184445.v2.0: wrote 8 files
[472/840] [474] HLS.L30.T10TGL.2021176T184445.v2.0: wrote 8 files
[473/840] [467] HLS.S30.T10TDM.2021175T190921.v2.0: wrote 8 files
[474/840] [476] HLS.L30.T10TEL.2021176T184445.v2.0: wrote 8 files
[475/840] [472] HLS.L30.T10TGM.2021176T184422.v2.0: wrote 8 files
[476/840] [471] HLS.L30.T11TKG.2021176T184422.v2.0: wrote 8 files
[477/840] [478] HLS.L30.T10TFL.2021176T184445.v2.0: wrote 8 files
[478/840] [482] HLS.S30.T10TCM.2021177T185919.v2.0: wrote 8 files
[479/840] [473] HLS.L30.T10TEM.2021176T184445.v2.0: wrote 8 files
[480/840] [483] HLS.S30.T10TFL.2021177T185919.v2.0: wrote 8 files
[481/840] [477] HLS.L30.T10TFM.2021176T184445.v2.0: wrote 8 files
[482/840] [484] HLS.S30.T10TEL.2021177T185919.v2.0: wrote 8 files
[483/840] [486] HLS.S30.T10TCL.2021177T185919.v2.0: wrote 8 files
[484/840] [485] HLS.S30.T10TDL.2021177T185919.v2.0: wrote 8 files
[485/840] [479] HLS.S30.T10TFM.2021177T185919.v2.0: wrote 8 files
[486/840] [480] HLS.S30.T10TEM.2021177T185919.v2.0: wrote 8 files
[487/840] [481] HLS.S30.T10TDM.2021177T185919.v2.0: wrote 8 files
[488/840] [491] HLS.S30.T11TKF.2021179T184921.v2.0: wrote 8 files
[489/840] [487] HLS.S30.T10TGM.2021179T184921.v2.0: wrote 8 files
[490/840] [492] HLS.S30.T10TGL.2021179T184921.v2.0: wrote 8 files
[491/840] [488] HLS.S30.T11TKG.2021179T184921.v2.0: wrote 8 files
[492/840] [494] HLS.S30.T10TEL.2021179T184921.v2.0: wrote 8 files
[493/840] [493] HLS.S30.T10TFL.2021179T184921.v2.0: wrote 8 files
[494/840] [496] HLS.S30.T10TCM.2021180T190919.v2.0: wrote 8 files
[495/840] [498] HLS.S30.T10TCL.2021180T190919.v2.0: wrote 8 files
[496/840] [497] HLS.S30.T10TDL.2021180T190919.v2.0: wrote 8 files
[497/840] [490] HLS.S30.T10TEM.2021179T184921.v2.0: wrote 8 files
[498/840] [489] HLS.S30.T10TFM.2021179T184921.v2.0: wrote 8 files
[499/840] [500] HLS.L30.T10TCM.2021181T190255.v2.0: wrote 8 files
[500/840] [495] HLS.S30.T10TDM.2021180T190919.v2.0: wrote 8 files
[501/840] [504] HLS.S30.T10TCM.2021182T185921.v2.0: wrote 8 files
[502/840] [505] HLS.S30.T10TFL.2021182T185921.v2.0: wrote 8 files
[503/840] [506] HLS.S30.T10TEL.2021182T185921.v2.0: wrote 8 files
[504/840] [499] HLS.L30.T10TDM.2021181T190255.v2.0: wrote 8 files
[505/840] [508] HLS.S30.T10TCL.2021182T185921.v2.0: wrote 8 files
[506/840] [507] HLS.S30.T10TDL.2021182T185921.v2.0: wrote 8 files
[507/840] [501] HLS.S30.T10TFM.2021182T185921.v2.0: wrote 8 files
[508/840] [502] HLS.S30.T10TEM.2021182T185921.v2.0: wrote 8 files
[509/840] [503] HLS.S30.T10TDM.2021182T185921.v2.0: wrote 8 files
[510/840] [511] HLS.L30.T10TFL.2021183T185057.v2.0: wrote 8 files
[511/840] [512] HLS.L30.T10TDL.2021183T185057.v2.0: wrote 8 files
[512/840] [513] HLS.L30.T10TEL.2021183T185057.v2.0: wrote 8 files
[513/840] [515] HLS.L30.T10TGL.2021185T183836.v2.0: wrote 8 files
[514/840] [518] HLS.L30.T11TKF.2021185T183836.v2.0: wrote 8 files
[515/840] [509] HLS.L30.T10TEM.2021183T185033.v2.0: wrote 8 files
[516/840] [510] HLS.L30.T10TFM.2021183T185033.v2.0: wrote 8 files
[517/840] [517] HLS.L30.T10TGM.2021185T183836.v2.0: wrote 8 files
[518/840] [516] HLS.L30.T11TKG.2021185T183836.v2.0: wrote 8 files
[519/840] [520] HLS.S30.T10TCM.2021185T190921.v2.0: wrote 8 files
[520/840] [521] HLS.S30.T10TDL.2021185T190921.v2.0: wrote 8 files
[521/840] [514] HLS.L30.T10TDM.2021183T185057.v2.0: wrote 8 files
[522/840] [525] HLS.S30.T10TCM.2021187T185919.v2.0: wrote 8 files
[523/840] [526] HLS.S30.T10TFL.2021187T185919.v2.0: wrote 8 files
[524/840] [519] HLS.S30.T10TDM.2021185T190921.v2.0: wrote 8 files
[525/840] [527] HLS.S30.T10TEL.2021187T185919.v2.0: wrote 8 files
[526/840] [528] HLS.S30.T10TDL.2021187T185919.v2.0: wrote 8 files
[527/840] [529] HLS.S30.T10TCL.2021187T185919.v2.0: wrote 8 files
[528/840] [522] HLS.S30.T10TFM.2021187T185919.v2.0: wrote 8 files
[529/840] [523] HLS.S30.T10TEM.2021187T185919.v2.0: wrote 8 files
[530/840] [524] HLS.S30.T10TDM.2021187T185919.v2.0: wrote 8 files
[531/840] [530] HLS.S30.T10TGM.2021189T184921.v2.0: wrote 8 files
[532/840] [534] HLS.S30.T11TKF.2021189T184921.v2.0: wrote 8 files
[533/840] [535] HLS.S30.T10TGL.2021189T184921.v2.0: wrote 8 files
[534/840] [531] HLS.S30.T11TKG.2021189T184921.v2.0: wrote 8 files
[535/840] [536] HLS.S30.T10TFL.2021189T184921.v2.0: wrote 8 files
[536/840] [537] HLS.S30.T10TEL.2021189T184921.v2.0: wrote 8 files
[537/840] [540] HLS.L30.T10TEL.2021190T185709.v2.0: wrote 8 files
[538/840] [542] HLS.L30.T10TCL.2021190T185709.v2.0: wrote 8 files
[539/840] [533] HLS.S30.T10TEM.2021189T184921.v2.0: wrote 8 files
[540/840] [541] HLS.L30.T10TCM.2021190T185709.v2.0: wrote 8 files
[541/840] [532] HLS.S30.T10TFM.2021189T184921.v2.0: wrote 8 files
[542/840] [543] HLS.L30.T10TDL.2021190T185709.v2.0: wrote 8 files
[543/840] [546] HLS.S30.T10TDL.2021190T190919.v2.0: wrote 8 files
[544/840] [545] HLS.S30.T10TCM.2021190T190919.v2.0: wrote 8 files
[545/840] [538] HLS.L30.T10TEM.2021190T185645.v2.0: wrote 8 files
[546/840] [539] HLS.L30.T10TDM.2021190T185645.v2.0: wrote 8 files
[547/840] [547] HLS.L30.T10TGM.2021192T184423.v2.0: wrote 8 files
[548/840] [551] HLS.L30.T10TGL.2021192T184447.v2.0: wrote 8 files
[549/840] [552] HLS.L30.T11TKF.2021192T184447.v2.0: wrote 8 files
[550/840] [548] HLS.L30.T11TKG.2021192T184423.v2.0: wrote 8 files
[551/840] [550] HLS.L30.T10TEL.2021192T184447.v2.0: wrote 8 files
[552/840] [544] HLS.S30.T10TDM.2021190T190919.v2.0: wrote 8 files
[553/840] [554] HLS.L30.T10TFL.2021192T184447.v2.0: wrote 8 files
[554/840] [549] HLS.L30.T10TFM.2021192T184423.v2.0: wrote 8 files
[555/840] [559] HLS.S30.T10TCM.2021192T185921.v2.0: wrote 8 files
[556/840] [560] HLS.S30.T10TFL.2021192T185921.v2.0: wrote 8 files
[557/840] [553] HLS.L30.T10TEM.2021192T184447.v2.0: wrote 8 files
[558/840] [561] HLS.S30.T10TEL.2021192T185921.v2.0: wrote 8 files
[559/840] [556] HLS.S30.T10TFM.2021192T185921.v2.0: wrote 8 files
[560/840] [562] HLS.S30.T10TDL.2021192T185921.v2.0: wrote 8 files
[561/840] [563] HLS.S30.T10TCL.2021192T185921.v2.0: wrote 8 files
[562/840] [555] HLS.L30.T10TFM.2021192T184447.v2.0: wrote 8 files
[563/840] [557] HLS.S30.T10TEM.2021192T185921.v2.0: wrote 8 files
[564/840] [558] HLS.S30.T10TDM.2021192T185921.v2.0: wrote 8 files
[565/840] [568] HLS.S30.T11TKF.2021194T184919.v2.0: wrote 8 files
[566/840] [569] HLS.S30.T10TGL.2021194T184919.v2.0: wrote 8 files
[567/840] [564] HLS.S30.T10TGM.2021194T184919.v2.0: wrote 8 files
[568/840] [570] HLS.S30.T10TFL.2021194T184919.v2.0: wrote 8 files
[569/840] [571] HLS.S30.T10TEL.2021194T184919.v2.0: wrote 8 files
[570/840] [565] HLS.S30.T11TKG.2021194T184919.v2.0: wrote 8 files
[571/840] [573] HLS.S30.T10TCM.2021195T190921.v2.0: wrote 8 files
[572/840] [575] HLS.S30.T10TCL.2021195T190921.v2.0: wrote 8 files
[573/840] [574] HLS.S30.T10TDL.2021195T190921.v2.0: wrote 8 files
[574/840] [576] HLS.L30.T10TCM.2021197T190256.v2.0: wrote 8 files
[575/840] [567] HLS.S30.T10TEM.2021194T184919.v2.0: wrote 8 files
[576/840] [566] HLS.S30.T10TFM.2021194T184919.v2.0: wrote 8 files
[577/840] [572] HLS.S30.T10TDM.2021195T190921.v2.0: wrote 8 files
[578/840] [581] HLS.S30.T10TCM.2021197T185919.v2.0: wrote 8 files
[579/840] [582] HLS.S30.T10TFL.2021197T185919.v2.0: wrote 8 files
[580/840] [583] HLS.S30.T10TEL.2021197T185919.v2.0: wrote 8 files
[581/840] [577] HLS.L30.T10TDM.2021197T190256.v2.0: wrote 8 files
[582/840] [585] HLS.S30.T10TCL.2021197T185919.v2.0: wrote 8 files
[583/840] [584] HLS.S30.T10TDL.2021197T185919.v2.0: wrote 8 files
[584/840] [578] HLS.S30.T10TFM.2021197T185919.v2.0: wrote 8 files
[585/840] [579] HLS.S30.T10TEM.2021197T185919.v2.0: wrote 8 files
[586/840] [580] HLS.S30.T10TDM.2021197T185919.v2.0: wrote 8 files
[587/840] [588] HLS.L30.T10TFL.2021199T185100.v2.0: wrote 8 files
[588/840] [590] HLS.L30.T10TDL.2021199T185100.v2.0: wrote 8 files
[589/840] [591] HLS.L30.T10TEL.2021199T185100.v2.0: wrote 8 files
[590/840] [586] HLS.L30.T10TFM.2021199T185036.v2.0: wrote 8 files
[591/840] [596] HLS.S30.T11TKF.2021199T184921.v2.0: wrote 8 files
[592/840] [592] HLS.S30.T10TGM.2021199T184921.v2.0: wrote 8 files
[593/840] [587] HLS.L30.T10TEM.2021199T185036.v2.0: wrote 8 files
[594/840] [589] HLS.L30.T10TDM.2021199T185100.v2.0: wrote 8 files
[595/840] [593] HLS.S30.T11TKG.2021199T184921.v2.0: wrote 8 files
[596/840] [597] HLS.S30.T10TGL.2021199T184921.v2.0: wrote 8 files
[597/840] [598] HLS.S30.T10TFL.2021199T184921.v2.0: wrote 8 files
[598/840] [599] HLS.S30.T10TEL.2021199T184921.v2.0: wrote 8 files
[599/840] [603] HLS.S30.T10TCL.2021200T190919.v2.0: wrote 8 files
[600/840] [601] HLS.S30.T10TCM.2021200T190919.v2.0: wrote 8 files
[601/840] [594] HLS.S30.T10TFM.2021199T184921.v2.0: wrote 8 files
[602/840] [595] HLS.S30.T10TEM.2021199T184921.v2.0: wrote 8 files
[603/840] [602] HLS.S30.T10TDL.2021200T190919.v2.0: wrote 8 files
[604/840] [604] HLS.L30.T10TGL.2021201T183839.v2.0: wrote 8 files
[605/840] [606] HLS.L30.T11TKF.2021201T183839.v2.0: wrote 8 files
[606/840] [600] HLS.S30.T10TDM.2021200T190919.v2.0: wrote 8 files
[607/840] [605] HLS.L30.T11TKG.2021201T183839.v2.0: wrote 8 files
[608/840] [611] HLS.S30.T10TCM.2021202T185921.v2.0: wrote 8 files
[609/840] [607] HLS.L30.T10TGM.2021201T183839.v2.0: wrote 8 files
[610/840] [612] HLS.S30.T10TFL.2021202T185921.v2.0: wrote 8 files
[611/840] [615] HLS.S30.T10TCL.2021202T185921.v2.0: wrote 8 files
[612/840] [613] HLS.S30.T10TEL.2021202T185921.v2.0: wrote 8 files
[613/840] [614] HLS.S30.T10TDL.2021202T185921.v2.0: wrote 8 files
[614/840] [608] HLS.S30.T10TFM.2021202T185921.v2.0: wrote 8 files
[615/840] [609] HLS.S30.T10TEM.2021202T185921.v2.0: wrote 8 files
[616/840] [610] HLS.S30.T10TDM.2021202T185921.v2.0: wrote 8 files
[617/840] [616] HLS.S30.T10TGM.2021204T184919.v2.0: wrote 8 files
[618/840] [620] HLS.S30.T11TKF.2021204T184919.v2.0: wrote 8 files
[619/840] [617] HLS.S30.T11TKG.2021204T184919.v2.0: wrote 8 files
[620/840] [621] HLS.S30.T10TGL.2021204T184919.v2.0: wrote 8 files
[621/840] [623] HLS.S30.T10TEL.2021204T184919.v2.0: wrote 8 files
[622/840] [622] HLS.S30.T10TFL.2021204T184919.v2.0: wrote 8 files
[623/840] [627] HLS.S30.T10TCL.2021205T190921.v2.0: wrote 8 files
[624/840] [625] HLS.S30.T10TCM.2021205T190921.v2.0: wrote 8 files
[625/840] [626] HLS.S30.T10TDL.2021205T190921.v2.0: wrote 8 files
[626/840] [618] HLS.S30.T10TFM.2021204T184919.v2.0: wrote 8 files
[627/840] [619] HLS.S30.T10TEM.2021204T184919.v2.0: wrote 8 files
[628/840] [632] HLS.L30.T10TCL.2021206T185715.v2.0: wrote 8 files
[629/840] [630] HLS.L30.T10TCM.2021206T185715.v2.0: wrote 8 files
[630/840] [631] HLS.L30.T10TEL.2021206T185715.v2.0: wrote 8 files
[631/840] [624] HLS.S30.T10TDM.2021205T190921.v2.0: wrote 8 files
[632/840] [633] HLS.L30.T10TDL.2021206T185715.v2.0: wrote 8 files
[633/840] [637] HLS.S30.T10TCM.2021207T185919.v2.0: wrote 8 files
[634/840] [629] HLS.L30.T10TEM.2021206T185651.v2.0: wrote 8 files
[635/840] [628] HLS.L30.T10TDM.2021206T185651.v2.0: wrote 8 files
[636/840] [638] HLS.S30.T10TFL.2021207T185919.v2.0: wrote 8 files
[637/840] [639] HLS.S30.T10TEL.2021207T185919.v2.0: wrote 8 files
[638/840] [641] HLS.S30.T10TCL.2021207T185919.v2.0: wrote 8 files
[639/840] [634] HLS.S30.T10TFM.2021207T185919.v2.0: wrote 8 files
[640/840] [640] HLS.S30.T10TDL.2021207T185919.v2.0: wrote 8 files
[641/840] [635] HLS.S30.T10TEM.2021207T185919.v2.0: wrote 8 files
[642/840] [636] HLS.S30.T10TDM.2021207T185919.v2.0: wrote 8 files
[643/840] [643] HLS.L30.T10TGM.2021208T184430.v2.0: wrote 8 files
[644/840] [646] HLS.L30.T11TKF.2021208T184454.v2.0: wrote 8 files
[645/840] [647] HLS.L30.T10TEL.2021208T184454.v2.0: wrote 8 files
[646/840] [644] HLS.L30.T11TKG.2021208T184430.v2.0: wrote 8 files
[647/840] [649] HLS.L30.T10TFL.2021208T184454.v2.0: wrote 8 files
[648/840] [650] HLS.L30.T10TGL.2021208T184454.v2.0: wrote 8 files
[649/840] [642] HLS.L30.T10TFM.2021208T184430.v2.0: wrote 8 files
[650/840] [645] HLS.L30.T10TEM.2021208T184454.v2.0: wrote 8 files
[651/840] [655] HLS.S30.T11TKF.2021209T184921.v2.0: wrote 8 files
[652/840] [651] HLS.S30.T10TGM.2021209T184921.v2.0: wrote 8 files
[653/840] [648] HLS.L30.T10TFM.2021208T184454.v2.0: wrote 8 files
[654/840] [656] HLS.S30.T10TGL.2021209T184921.v2.0: wrote 8 files
[655/840] [652] HLS.S30.T11TKG.2021209T184921.v2.0: wrote 8 files
[656/840] [657] HLS.S30.T10TFL.2021209T184921.v2.0: wrote 8 files
[657/840] [658] HLS.S30.T10TEL.2021209T184921.v2.0: wrote 8 files
[658/840] [662] HLS.S30.T10TCL.2021210T190919.v2.0: wrote 8 files
[659/840] [661] HLS.S30.T10TDL.2021210T190919.v2.0: wrote 8 files
[660/840] [653] HLS.S30.T10TFM.2021209T184921.v2.0: wrote 8 files
[661/840] [654] HLS.S30.T10TEM.2021209T184921.v2.0: wrote 8 files
[662/840] [660] HLS.S30.T10TCM.2021210T190919.v2.0: wrote 8 files
[663/840] [669] HLS.S30.T10TCL.2021212T185921.v2.0: wrote 8 files
[664/840] [665] HLS.S30.T10TCM.2021212T185921.v2.0: wrote 8 files
[665/840] [666] HLS.S30.T10TFL.2021212T185921.v2.0: wrote 8 files
[666/840] [667] HLS.S30.T10TEL.2021212T185921.v2.0: wrote 8 files
[667/840] [668] HLS.S30.T10TDL.2021212T185921.v2.0: wrote 8 files
[668/840] [659] HLS.S30.T10TDM.2021210T190919.v2.0: wrote 8 files
[669/840] [663] HLS.S30.T10TEM.2021212T185921.v2.0: wrote 8 files
[670/840] [671] HLS.L30.T10TCM.2021213T190305.v2.0: wrote 8 files
[671/840] [664] HLS.S30.T10TDM.2021212T185921.v2.0: wrote 8 files
[672/840] [672] HLS.S30.T10TGM.2021214T184919.v2.0: wrote 8 files
[673/840] [676] HLS.S30.T11TKF.2021214T184919.v2.0: wrote 8 files
[674/840] [677] HLS.S30.T10TGL.2021214T184919.v2.0: wrote 8 files
[675/840] [673] HLS.S30.T11TKG.2021214T184919.v2.0: wrote 8 files
