,Min EVI,Max EVI,Mean EVI,Standard Deviation EVI,Median EVI,Count
2021-06-06 18:59:19,-0.0019509243,0.8213168,0.44542003,0.15581216,0.4673162,13415
2021-06-08 18:49:21,0.022185016,0.8146403,0.46297732,0.15390778,0.47880888,13292
2021-06-09 18:45:05,0.0030214516,0.8292024,0.444553,0.15997216,0.46205014,10454
2021-06-11 18:59:21,0.003804694,0.7811468,0.4609802,0.14598994,0.4818102,12003
2021-06-13 18:49:19,0.030661412,0.8338085,0.4643276,0.15732363,0.48098153,13259
2021-06-16 18:51:18,0.012070019,0.88597333,0.45337388,0.15750206,0.47137162,13212
2021-06-16 18:59:19,0.0006373278,0.83476675,0.44140074,0.15458757,0.46124396,13367
2021-06-18 18:49:21,0.038775217,0.826076,0.45919394,0.15960221,0.4770331,13253
2021-06-21 18:59:21,0.0074413707,0.8121812,0.4310894,0.16042899,0.45183164,13594
2021-06-23 18:49:19,0.023794359,0.8167918,0.45349443,0.16051751,0.4707933,13254
2021-06-25 18:45:09,0.025348535,0.88030374,0.4696853,0.17015928,0.48253363,13229
2021-06-26 18:59:19,0.008647986,0.81975883,0.4403651,0.15697506,0.45981452,13383
2021-06-28 18:49:21,0.052361343,0.81176925,0.46566108,0.16161992,0.48264915,13255
2021-07-01 18:59:21,0.012156257,0.78715026,0.44606405,0.16157511,0.46486202,13587
2021-07-02 18:51:21,0.009915353,0.8485282,0.45458594,0.15820019,0.4656339,13236
2021-07-06 18:59:19,0.015896244,0.8108514,0.4413086,0.15963912,0.45633402,13455
2021-07-08 18:49:21,0.049141865,0.8308182,0.46427393,0.1624606,0.48213333,13251
2021-07-11 18:45:11,0.023742605,0.8300228,0.4661152,0.17477277,0.47397804,13216
2021-07-11 18:59:21,0.008150985,0.7957299,0.44103312,0.15958293,0.45585787,13330
2021-07-13 18:49:19,0.034323353,0.78090423,0.44916856,0.1610539,0.45788196,13252
2021-07-16 18:59:19,0.04359011,0.68339616,0.41107684,0.12233212,0.42823893,13394
2021-07-18 18:49:21,0.035521507,0.76172894,0.4273705,0.15106486,0.440121,13257
2021-07-18 18:51:24,0.016551662,0.79739743,0.41727665,0.1499667,0.42837372,13224
2021-07-21 18:59:21,0.028686987,0.7943088,0.41987902,0.14726853,0.4361761,13309
2021-07-23 18:49:19,0.04093712,0.71337306,0.41506988,0.13805293,0.4309512,13536
2021-07-26 18:59:19,0.032814957,0.72978234,0.41516212,0.13469443,0.4361962,12968
2021-07-28 18:49:21,0.042895623,0.75934577,0.4337871,0.14208487,0.44708732,13294
2021-07-31 18:59:21,0.024166489,0.7807319,0.42172298,0.14248449,0.4423621,13497
2021-08-02 18:49:19,0.04118459,0.72234833,0.4087224,0.12943459,0.43085262,13691
2021-08-03 18:51:32,0.03286714,0.8393752,0.42997268,0.14863974,0.44569507,13033
2021-08-05 18:59:19,0.02440405,0.72487646,0.40719205,0.13005018,0.43103608,13522
2021-08-07 18:49:21,0.18566027,0.71772605,0.42284018,0.09496155,0.43541864,13085
2021-08-10 18:59:21,0.042424854,0.71307135,0.40590706,0.120560996,0.4313598,13630
2021-08-12 18:45:24,0.18456085,0.5166278,0.37769625,0.07180364,0.38436532,2843
2021-08-12 18:49:19,0.19103393,0.56345993,0.38553986,0.0648369,0.39400205,12177
2021-08-19 18:51:37,0.10140477,0.3834343,0.2663465,0.053323243,0.27038652,842
2021-08-20 18:59:21,0.20339741,0.607409,0.4058376,0.0786984,0.4207796,7856
2021-08-22 18:49:19,0.04845535,0.66424793,0.39095765,0.11104542,0.41466942,13506
2021-08-25 18:59:19,0.030741068,0.7202495,0.38478196,0.11913631,0.40909147,13338
2021-08-28 18:45:29,0.19990496,0.5794933,0.36576852,0.07257954,0.3780107,6686
2021-08-30 18:59:21,0.042483978,0.7174618,0.38701624,0.11336501,0.4048939,13341
2021-09-01 18:49:19,0.060223684,0.7332503,0.37920228,0.122521095,0.3934318,13295
2021-09-04 18:51:42,0.019689705,0.73130476,0.36544055,0.11372295,0.37504077,13258
2021-09-04 18:59:09,0.051240295,0.709214,0.3652445,0.11118578,0.3776409,13316
2021-09-06 18:49:21,0.033129342,0.71134186,0.37681895,0.12001518,0.3920104,13349
2021-09-09 18:59:31,0.11376739,0.6038978,0.42179084,0.08378362,0.4336297,1992
2021-09-11 18:49:29,0.049679212,0.73147535,0.39844626,0.127415,0.41278762,13273
2021-09-13 18:45:33,0.073508546,0.69211733,0.40163296,0.1083581,0.41389966,13312
2021-09-14 18:59:29,0.054073896,0.7071359,0.38852924,0.11597569,0.4053902,13312
2021-09-16 18:50:21,0.03219705,0.7005755,0.39307973,0.12274402,0.4113839,13314
2021-09-19 19:00:51,0.10103368,0.7085825,0.4105624,0.12803385,0.43868738,6275
2021-09-20 18:51:45,0.023881307,0.75940496,0.38808802,0.13004148,0.40701264,13109
2021-09-21 18:49:59,0.052576624,0.6839424,0.38461348,0.119927175,0.40467218,13281
2021-09-24 19:00:29,0.04363421,0.71955657,0.37525845,0.12371632,0.39469042,13248
2021-09-26 18:51:31,0.043066815,0.71975523,0.38055184,0.123603895,0.40005222,13247
2021-09-29 18:45:37,0.031565413,0.7519316,0.37958544,0.12527874,0.39498863,13205
2021-09-29 19:02:01,0.042348005,0.7116247,0.36693653,0.116821036,0.38422602,13244
2021-10-01 18:51:19,0.042584445,0.69117343,0.36381847,0.11529663,0.38113296,13243
2021-10-04 19:02:39,0.055687904,0.6695374,0.35567376,0.104111984,0.37313712,13272
2021-10-09 19:03:11,0.042377602,0.7028098,0.34541303,0.106244355,0.3569873,13242
2021-10-11 18:53:19,0.03662871,0.69616497,0.3483746,0.110204026,0.36465174,13235
2021-10-14 19:03:49,0.039069608,0.70053035,0.3486367,0.109549776,0.36498937,13235
2021-10-15 18:45:42,0.038726322,0.7565427,0.36085138,0.11655845,0.37430227,13209
2021-10-16 18:54:01,0.04174942,0.6799283,0.3525576,0.110626124,0.36720598,13239
2021-10-29 19:05:21,0.11565645,0.67575145,0.39419296,0.08265147,0.40392345,4305
2021-10-31 18:45:42,0.14381142,0.52336764,0.29660574,0.07528375,0.28755695,150
2021-10-31 18:55:29,0.461138,0.6041527,0.55994385,0.040522743,0.56951785,9
2021-11-03 19:05:49,0.049120903,0.7395181,0.33604002,0.10158109,0.35224575,13168
2021-11-07 18:51:51,0.033432778,0.75473344,0.344209,0.105374426,0.35723472,13137
2021-11-13 19:06:39,0.080675915,0.5620349,0.37003475,0.08038368,0.38475397,1991
2021-11-16 18:45:37,0.03288884,0.8885088,0.32934728,0.09483709,0.33653665,13171
2021-11-20 18:56:59,-0.20331845,0.79777807,0.30466008,0.08864915,0.30750382,13199
2021-11-23 18:51:48,0.02612055,0.82958364,0.2837152,0.086089544,0.27549386,13166
2021-11-23 19:07:19,0.017667834,0.8016268,0.28356153,0.083919354,0.27676663,13204
