run,epoch,train_loss,train_mae,val_loss,val_mae,lr
resnet18_version4-5040,29,267.9782,11.6158,838.0755,24.1098,
resnet18_version4-5040,30,213.6488,10.954,820.0404,23.6744,
resnet18_version4-5040,31,245.0506,11.0858,693.1462,19.8025,
resnet18_version4-5040,32,233.2871,10.6726,819.0071,22.5667,
resnet18_version4-5040,33,236.1458,10.6342,687.2853,17.4398,
resnet18_version4-5040,34,266.6619,11.8878,700.9955,17.6296,
resnet18_version4-5040,35,225.4491,9.889,679.6557,18.7285,
resnet18_version4-5040,36,224.7975,10.5353,767.1336,21.7054,
resnet18_version4-5040,37,224.2887,10.5619,742.6076,20.3761,
resnet18_version4-5040,38,249.2721,10.6959,767.6915,20.8329,
resnet18_version4-5040,39,219.8815,10.2146,946.3507,25.4996,
resnet18_version4-5040,40,211.1913,10.2452,872.3114,23.21,
resnet18_version4-5040,41,225.5217,10.492,785.7354,21.3227,
resnet18_version4-5040,42,203.1687,9.4335,818.9474,18.1029,
resnet18_version4-5040,43,212.4853,10.3117,881.7781,18.4763,
resnet18_version4-5040,44,197.9457,10.0077,1013.9943,26.7514,
resnet18_version4-5040,45,220.9333,10.6494,679.2843,17.3905,
resnet18_version4-5040,46,227.6772,10.3096,670.0567,18.766,
resnet18_version4-5040,47,233.2961,10.4703,805.5137,22.6223,
resnet18_version4-5040,48,217.1643,10.5473,1099.7229,28.5478,
resnet18_version4-5040,49,208.3821,10.0153,980.1932,25.8258,
resnet18_version4-5040,50,250.4725,10.3562,673.0272,17.8054,
resnet18_version4-5040,51,212.139,9.9277,685.6122,17.1579,
resnet18_version4-5040,52,212.5616,9.9971,685.1163,17.9402,
resnet18_version4-5040,53,200.5779,10.1042,699.1016,19.6019,
resnet18_version4-5040,54,201.6159,9.9065,765.3168,21.0235,
resnet18_version4-5040,55,202.7247,9.4919,823.5667,22.1204,
resnet18_version4-5040,56,213.0717,10.5619,885.856,23.7952,
resnet18_version4-5040,57,197.4374,9.6355,1400.0395,32.0832,
resnet18_version4-5040,58,200.188,9.9875,1278.2284,30.2905,
resnet18_version4-5040,59,179.0419,9.8968,881.6426,23.4622,
resnet18_version4-5040,60,203.3837,9.7614,1059.2145,26.4355,
resnet18_version_11_6611,1,0.5429,0.9305,0.3716,0.7368,1e-05
resnet18_version_11_6611,2,0.3917,0.7613,0.3494,0.7113,1e-05
resnet18_version_11_6611,3,0.3714,0.7346,0.3417,0.6945,1e-05
resnet18_version_11_6611,4,0.3597,0.7196,0.3404,0.6972,1e-05
resnet18_version_11_6611,5,0.3522,0.71,0.3264,0.6763,1e-05
resnet18_version_11_6611,6,0.3468,0.7027,0.3233,0.6706,1e-05
resnet18_version_11_6611,7,0.3411,0.6953,0.3185,0.6649,1e-05
resnet18_version_11_6611,8,0.3362,0.6887,0.3236,0.671,1e-05
resnet18_version_11_6611,9,0.3319,0.6832,0.3304,0.6809,1e-05
resnet18_version_11_6611,10,0.3286,0.6792,0.3225,0.668,1e-05
resnet18_version_11_6611,11,0.3258,0.6751,0.3244,0.6723,1e-05
resnet18_version_11_6611,12,0.3217,0.6696,0.3154,0.6625,1e-05
resnet18_version_11_6611,13,0.3192,0.6662,0.3159,0.6611,1e-05
resnet18_version_11_6611,14,0.3166,0.6627,0.3181,0.6606,1e-05
resnet18_version_11_6611,15,0.3142,0.6592,0.3168,0.659,1e-05
resnet18_version_11_6611,16,0.3119,0.6559,0.3143,0.6565,1e-05
resnet18_version_11_6611,17,0.309,0.6522,0.3132,0.6565,1e-05
resnet18_version_11_6611,18,0.3074,0.6502,0.3127,0.6571,1e-05
resnet18_version_11_6611,19,0.3052,0.6471,0.3161,0.659,1e-05
resnet18_version_11_6611,20,0.3034,0.6444,0.3169,0.6609,1e-05
resnet18_version_11_6611,21,0.3019,0.6423,0.3145,0.6565,1e-05
resnet18_version_11_6611,22,0.2998,0.6393,0.3171,0.6592,1e-05
resnet18_version_11_6611,23,0.2981,0.6369,0.3174,0.6619,1e-05
resnet18_version_11_6611,24,0.2964,0.6349,0.3145,0.6595,5e-06
resnet18_version_11_6611,25,0.2881,0.6233,0.3121,0.6542,5e-06
resnet18_version_11_6611,26,0.286,0.6195,0.3123,0.653,5e-06
resnet18_version_11_6611,27,0.2848,0.618,0.3157,0.6578,5e-06
resnet18_version_11_6611,28,0.2827,0.6147,0.3143,0.6583,5e-06
resnet18_version_11_6611,29,0.2815,0.6137,0.3158,0.6578,5e-06
resnet18_version_11_6611,30,0.2809,0.6122,0.3131,0.654,5e-06
resnet18_version_11_6611,31,0.2792,0.6096,0.3149,0.6571,2.5e-06
resnet18_version_11_6611,32,0.2753,0.6043,0.3148,0.6563,2.5e-06
